cement,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
CP II F 32,21,144.38908541194255,157.75833333333333,396.63666666666666,158.57142857142858
CP III RS,98,95.89825010307153,47.56361111111109,457.0447619047619,-31.224489795918366
CP II Z 32,35,66.82865646258503,51.39166666666668,207.08023809523803,25.428571428571427
CP V ARI,329,64.07921701820638,28.466666666666654,556.7516666666668,-124.3161094224924
CP V ARI RS,208,40.589428228021966,27.32916666666665,375.86833333333334,-113.02884615384616
CP II F 40,154,37.490315141207994,23.52059523809526,199.22500000000002,-90.97402597402598
CP II,14,35.88304421768707,29.76297619047617,99.35166666666663,-115.0
CP II E 40,476,35.83681193689597,17.26470238095243,359.32797619047625,-88.99159663865547
CP III,7,30.702585034013598,25.68166666666656,62.42499999999997,-91.42857142857143
CP II E 40 RS,14,24.762098794063064,15.103928571428526,78.17261904761904,-90.71428571428571
CP II F 32 RS,35,23.378267573696135,19.645,69.67333333333333,-88.28571428571429
Não informado,28,21.442555272108844,19.94529761904763,69.56333333333333,-110.35714285714286
CP II E,14,18.804594671201805,8.795019841269877,88.40333333333336,-95.0
CP II Z 40,14,15.797619047619056,14.130833333333356,43.63499999999999,-107.85714285714286
