estado,quantidade,erro_medio,erro_mediano,erro_maximo,variacao_media
SC,42,121.18239984882841,108.76,396.63666666666666,28.80952380952381
RN,14,102.14285714285714,100.35083333333321,264.23999999999995,-186.42857142857142
ES,14,84.67828798185943,28.64190476190479,284.975,-200.0
RJ,182,80.78264879961309,45.66416666666639,457.0447619047619,-79.01098901098901
PR,28,74.82367772108842,74.48249999999997,167.29166666666666,-82.14285714285714
RS,35,66.82865646258503,51.39166666666668,207.08023809523803,25.428571428571427
PE,35,46.67973407544836,34.84166666666661,157.48000000000002,-102.0
MT,14,46.390884353741505,18.054166666666678,199.22500000000002,-110.71428571428571
SP,733,44.96956646960739,21.294999999999995,556.7516666666668,-99.97271487039563
MG,21,30.27772108843537,28.9525,83.16000000000008,-76.66666666666667
BA,42,28.395616024187444,23.98750000000002,90.69333333333333,-90.47619047619048
PB,42,24.307861866969002,19.536309523809585,101.90999999999997,-106.19047619047619
PI,14,24.189336734693857,24.992500000000007,73.92476190476191,-127.85714285714286
AM,35,23.378267573696135,19.645,69.67333333333333,-88.28571428571429
AL,14,22.539265873015875,24.987499999999986,45.656428571428535,-107.85714285714286
CE,14,21.63209183673471,10.28916666666666,69.2716666666667,-105.0
DF,98,21.583535795270492,17.77571428571431,77.97000000000008,-95.40816326530613
SE,14,20.34584467120181,9.444246031745935,69.56333333333333,-112.85714285714286
TO,14,18.990867346938778,16.944523809523787,47.5107142857143,-92.14285714285714
PA,14,18.804594671201805,8.795019841269877,88.40333333333336,-95.0
SP ,28,16.116303854875287,8.341904761904757,94.45547619047619,-88.92857142857143
