wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,0.5,12,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,0.0,0,0.09,-0.09,0.09,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,1.0,24,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,30.0,0,27.441904761904755,2.5580952380952446,2.5580952380952446,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,3.0,72,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,-50.0,0,59.71738095238093,-109.71738095238092,109.71738095238092,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,7.0,168,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,-180.0,0,89.34142857142861,-269.3414285714286,269.3414285714286,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,14.0,336,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-360.0,0,-35.31642857142857,-324.68357142857144,324.68357142857144,retracao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,28.0,672,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-590.0,0,-152.40857142857146,-437.59142857142854,437.59142857142854,retracao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,56.0,1344,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-760.0,0,-317.9433333333332,-442.0566666666668,442.0566666666668,retracao
0.52,385,200.20000000000002,15.0,0.0,5.5,0.6,0.5,12,CP II E 40,Não informado,Não informado,ES,Sudeste,12 h,0.0,1,0.0,0.0,0.0,estabilidade
0.52,385,200.20000000000002,15.0,0.0,5.5,0.6,1.0,24,CP II E 40,Não informado,Não informado,ES,Sudeste,1 dia,40.0,1,34.53428571428574,5.465714285714263,5.465714285714263,expansao
0.52,385,200.20000000000002,15.0,0.0,5.5,0.6,3.0,72,CP II E 40,Não informado,Não informado,ES,Sudeste,3 dias,80.0,1,77.4377777777778,2.5622222222222035,2.5622222222222035,expansao
