wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto,faixa_dry_d1,faixa_wb,faixa_water_consumption,faixa_cement_consumption
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,28 dias,-870.0,5,-313.2483333333332,-556.7516666666668,556.7516666666668,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,56 dias,-1000.0,5,-474.36000000000007,-525.6399999999999,525.6399999999999,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,8.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,56 dias,-910.0,155,-385.1383333333334,-524.8616666666667,524.8616666666667,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,8.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,7 dias,-430.0,155,50.74166666666667,-480.7416666666667,480.7416666666667,expansao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,8.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,28 dias,-700.0,155,-236.26333333333335,-463.7366666666667,463.7366666666667,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.55,332,182.60000000000002,25.0,0.0,0.0,0.6,7.0,168,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,7 dias,620.0,192,162.9552380952381,457.0447619047619,457.0447619047619,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.55,332,182.60000000000002,30.0,0.0,0.0,0.6,7.0,168,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,7 dias,910.0,194,461.38833333333343,448.61166666666657,448.61166666666657,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,56.0,1344,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-760.0,0,-317.9433333333332,-442.0566666666668,442.0566666666668,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,28.0,672,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-590.0,0,-152.40857142857146,-437.59142857142854,437.59142857142854,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,8.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-540.0,155,-139.30333333333334,-400.69666666666666,400.69666666666666,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,28 dias,-290.0,54,-690.6049999999996,400.60499999999956,400.60499999999956,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.54,355,191.70000000000002,15.0,25.0,0.0,0.6,56.0,1344,CP II F 32,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SC,Sul,56 dias,210.0,205,-186.63666666666668,396.63666666666666,396.63666666666666,retracao,"(12.5, 30.0]","(0.51, 0.54]","(185.76, 192.0]","(343.0, 370.0]"
0.55,332,182.60000000000002,30.0,0.0,0.0,0.6,14.0,336,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,14 dias,720.0,194,337.84999999999985,382.15000000000015,382.15000000000015,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.51,380,193.8,10.0,25.0,5.625,0.6,14.0,336,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,14 dias,300.0,171,-75.86833333333333,375.86833333333334,375.86833333333334,retracao,"(-0.001, 10.0]","(0.453, 0.51]","(192.0, 219.6]","(370.0, 424.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-560.0,5,-184.80333333333337,-375.1966666666666,375.1966666666666,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,56 dias,-470.0,54,-834.6635714285711,364.6635714285711,364.6635714285711,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.55,332,182.60000000000002,25.0,,0.0,0.6,7.0,168,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,7 dias,90.0,191,453.175,-363.175,363.175,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,7 dias,20.0,54,-340.7988095238096,360.7988095238096,360.7988095238096,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.6,339,203.4,0.0,25.0,0.0,0.6,7.0,168,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,210.0,201,-149.32797619047625,359.32797619047625,359.32797619047625,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(336.0, 343.0]"
0.55,332,182.60000000000002,25.0,,0.0,0.6,14.0,336,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,14 dias,-30.0,191,327.45999999999987,-357.45999999999987,357.45999999999987,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-140.0,54,-496.8742857142858,356.8742857142858,356.8742857142858,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.55,332,182.60000000000002,25.0,,0.0,0.6,3.0,72,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,3 dias,60.0,191,410.54166666666674,-350.54166666666674,350.54166666666674,expansao,"(12.5, 30.0]","(0.54, 0.55]","(169.049, 184.8]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,7 dias,-450.0,5,-107.18666666666662,-342.8133333333334,342.8133333333334,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,14.0,336,CP V ARI,56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-360.0,0,-35.31642857142857,-324.68357142857144,324.68357142857144,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
0.61,330,201.29999999999998,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Campo,SP,Sudeste,14 dias,-500.0,8,-184.80333333333337,-315.1966666666666,315.1966666666666,retracao,"(-0.001, 10.0]","(0.55, 0.63]","(192.0, 219.6]","(310.999, 336.0]"
