amostra_id,idade_label,idade_dias,epsilon_t,epsilon_previsto,residuo,erro_absoluto,sinal_real,sinal_previsto
0,12 h,0.5,0.0,32.30452495323388,-32.30452495323388,32.30452495323388,estabilidade,expansao
0,1 dia,1.0,30.0,37.676166216117224,-7.676166216117224,7.676166216117224,expansao,expansao
0,3 dias,3.0,-50.0,41.68071687916168,-91.68071687916168,91.68071687916168,retracao,expansao
0,7 dias,7.0,-180.0,34.22219230597008,-214.22219230597008,214.22219230597008,retracao,expansao
0,14 dias,14.0,-360.0,-83.88418253164734,-276.11581746835265,276.11581746835265,retracao,retracao
0,28 dias,28.0,-590.0,-199.2466352210583,-390.75336477894166,390.75336477894166,retracao,retracao
0,56 dias,56.0,-760.0,-333.0665222479813,-426.9334777520187,426.9334777520187,retracao,retracao
1,12 h,0.5,0.0,-50.2006896160658,50.2006896160658,50.2006896160658,estabilidade,retracao
1,1 dia,1.0,40.0,-35.692494520557034,75.69249452055703,75.69249452055703,expansao,retracao
1,3 dias,3.0,80.0,-19.81798751981654,99.81798751981654,99.81798751981654,expansao,retracao
1,7 dias,7.0,120.0,-22.2416353888392,142.2416353888392,142.2416353888392,expansao,retracao
1,14 dias,14.0,-30.0,-146.10532131790208,116.10532131790208,116.10532131790208,retracao,retracao
1,28 dias,28.0,-250.0,-268.1199545230082,18.119954523008175,18.119954523008175,retracao,retracao
1,56 dias,56.0,-500.0,-405.933065947349,-94.06693405265099,94.06693405265099,retracao,retracao
2,12 h,0.5,-10.0,-30.237684375156093,20.237684375156093,20.237684375156093,retracao,retracao
2,1 dia,1.0,0.0,-15.944973426670913,15.944973426670913,15.944973426670913,estabilidade,retracao
2,3 dias,3.0,10.0,-11.507942582370646,21.507942582370646,21.507942582370646,expansao,retracao
2,7 dias,7.0,30.0,-14.432442044849424,44.432442044849424,44.432442044849424,expansao,retracao
2,14 dias,14.0,-160.0,-135.3416830106613,-24.658316989338687,24.658316989338687,retracao,retracao
2,28 dias,28.0,-310.0,-252.55584839552307,-57.44415160447693,57.44415160447693,retracao,retracao
2,56 dias,56.0,-420.0,-385.1856180141678,-34.8143819858322,34.8143819858322,retracao,retracao
3,12 h,0.5,0.0,61.98606764356501,-61.98606764356501,61.98606764356501,estabilidade,expansao
3,1 dia,1.0,-30.0,67.35770890644835,-97.35770890644835,97.35770890644835,retracao,expansao
