amostra_id,idade_label,real,previsto
0,12 h,0.0,32.30452495323388
0,1 dia,30.0,37.676166216117224
0,3 dias,-50.0,41.68071687916168
0,7 dias,-180.0,34.22219230597008
0,14 dias,-360.0,-83.88418253164734
0,28 dias,-590.0,-199.2466352210583
0,56 dias,-760.0,-333.0665222479813
1,12 h,0.0,-50.2006896160658
1,1 dia,40.0,-35.692494520557034
1,3 dias,80.0,-19.81798751981654
1,7 dias,120.0,-22.2416353888392
1,14 dias,-30.0,-146.10532131790208
1,28 dias,-250.0,-268.1199545230082
1,56 dias,-500.0,-405.933065947349
2,12 h,-10.0,-30.237684375156093
2,1 dia,0.0,-15.944973426670913
2,3 dias,10.0,-11.507942582370646
2,7 dias,30.0,-14.432442044849424
2,14 dias,-160.0,-135.3416830106613
2,28 dias,-310.0,-252.55584839552307
2,56 dias,-420.0,-385.1856180141678
3,12 h,0.0,61.98606764356501
3,1 dia,-30.0,67.35770890644835
3,3 dias,-60.0,71.3622595694928
3,7 dias,-120.0,63.90373499630121
3,14 dias,-240.0,-54.20263984131621
3,28 dias,-300.0,-169.5650925307272
3,56 dias,-410.0,-303.3849795576502
4,12 h,0.0,57.69781115611883
4,1 dia,30.0,72.20600625162757
4,3 dias,60.0,88.08051325236812
4,7 dias,100.0,85.65686538334546
4,14 dias,-110.0,-38.20682054571745
4,28 dias,-290.0,-160.2214537508235
4,56 dias,-400.0,-298.03456517516435
5,12 h,0.0,-40.20631378640141
5,1 dia,-40.0,-25.91360283791623
5,3 dias,-100.0,-21.47657199361599
5,7 dias,-450.0,-24.40107145609477
5,14 dias,-560.0,-145.31031242190664
5,28 dias,-870.0,-262.5244778067684
5,56 dias,-1000.0,-395.1542474254131
6,12 h,0.0,-159.78933012527813
6,1 dia,-50.0,-154.4176888623948
6,3 dias,-130.0,-150.41313819935036
6,7 dias,-290.0,-157.87166277254195
6,14 dias,-450.0,-275.9780376101594
6,28 dias,-580.0,-391.3404902995704
6,56 dias,-760.0,-525.1603773264933
7,12 h,0.0,58.61211148101631
7,1 dia,110.0,73.12030657652508
7,3 dias,190.0,88.99481357726557
7,7 dias,220.0,86.57116570824297
7,14 dias,-40.0,-37.292520220819966
7,28 dias,-270.0,-159.30715342592606
7,56 dias,-390.0,-297.12026485026684
8,12 h,0.0,-40.20631378640141
8,1 dia,-90.0,-25.91360283791623
8,3 dias,-250.0,-21.47657199361599
8,7 dias,-370.0,-24.40107145609477
8,14 dias,-500.0,-145.31031242190664
8,28 dias,-580.0,-262.5244778067684
8,56 dias,-740.0,-395.1542474254131
9,12 h,0.0,20.831721470677223
9,1 dia,70.0,26.203362733560596
9,3 dias,150.0,30.20791339660508
9,7 dias,170.0,22.749388823413454
9,14 dias,-60.0,-95.35698601420398
9,28 dias,-260.0,-210.71943870361497
9,56 dias,-270.0,-344.53932573053794
10,12 h,0.0,-142.57038491067624
10,1 dia,-40.0,-128.06218981516747
10,3 dias,-120.0,-112.18768281442696
10,7 dias,-170.0,-114.61133068344961
10,14 dias,-380.0,-238.4750166125125
10,28 dias,-550.0,-360.48964981761856
